genome_name,Completeness,completeness_score,Contamination,contamination_score,assembly_quality,N50_contigs,Longest_contig_bp,Winner_Completeness,winner_completeness_score,Winner_Contamination,winner_contamination_score,winner_assembly_quality,classification,Domain,Phylum,Class,Order,Family,Genus,Species,source,dRep,analysis_project_type,completeness_software,completeness_software_version,assembly_tool,assembly_tool_version,annotation_tool,annotation_tool_version,binning_software,binning_software_version
16O_day184_MH_16O_day184_MH_bin.125_renamed,46.31,Low,2.73,High,Low,54391,143131,NA,NA,NA,NA,NA,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__UBA6107;s__,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA6107,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
16O_day184_MH_16O_day184_MH_bin.126_renamed,61.21,Medium,21.55,Low,Low,8283,45016,NA,NA,NA,NA,NA,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Koribacteraceae;g__TOLSYN;s__,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Koribacteraceae,TOLSYN,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
16O_day184_MH_16O_day184_MH_bin.130_renamed,88.84,Medium,4.09,High,Medium,12780,48483,NA,NA,NA,NA,NA,d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Miltoncostaeales;f__Miltoncostaeaceae;g__CAITWD01;s__,Bacteria,Actinomycetota,Thermoleophilia,Miltoncostaeales,Miltoncostaeaceae,CAITWD01,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
16O_day184_MH_16O_day184_MH_bin.136_renamed,86.41,Medium,3.62,High,Medium,14193,60442,NA,NA,NA,NA,NA,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Fen-668;s__,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Fen-668,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
16O_day184_MH_16O_day184_MH_bin.139_renamed,80.93,Medium,128.16,Low,Low,4875,35690,NA,NA,NA,NA,NA,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Rectinemataceae;g__UBA1306;s__,Bacteria,Spirochaetota,Spirochaetia,Treponematales,Rectinemataceae,UBA1306,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
16O_day184_MH_16O_day184_MH_bin.142_renamed,89.89,Medium,13.06,Low,Low,14118,94831,NA,NA,NA,NA,NA,d__Bacteria;p__Myxococcota;c__Polyangia;o__Fen-1088;f__Fen-1088;g__Fen-1118;s__,Bacteria,Myxococcota,Polyangia,Fen-1088,Fen-1088,Fen-1118,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
16O_day184_MH_16O_day184_MH_bin.15_renamed,69.48,Medium,13.79,Low,Low,6054,20128,NA,NA,NA,NA,NA,d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__UBA5070;f__UBA5070;g__UBA5070;s__,Bacteria,Fibrobacterota,Fibrobacteria,UBA5070,UBA5070,UBA5070,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
16O_day184_MH_16O_day184_MH_bin.17_renamed,75.89,Medium,3.7,High,Medium,10093,57358,NA,NA,NA,NA,NA,d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__Velthaea;s__,Bacteria,Eremiobacterota,Eremiobacteria,Baltobacterales,Baltobacteraceae,Velthaea,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
16O_day184_MH_16O_day184_MH_bin.18_renamed,94.02,High,3.49,High,High,26232,74650,NA,NA,NA,NA,NA,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Propionicimonas;s__,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Propionicimonas,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
16O_day184_MH_16O_day184_MH_bin.27_renamed,73.48,Medium,32.72,Low,Low,4734,20995,NA,NA,NA,NA,NA,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
16O_day184_MH_16O_day184_MH_bin.2_renamed,90.94,High,4.06,High,High,29577,84733,NA,NA,NA,NA,NA,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Fen-668;s__,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Fen-668,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
16O_day184_MH_16O_day184_MH_bin.34_renamed,91.11,High,4.72,High,High,28420,122501,NA,NA,NA,NA,NA,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Cellulomonadaceae;g__Cellulomonas;s__,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Cellulomonadaceae,Cellulomonas,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
16O_day184_MH_16O_day184_MH_bin.35_renamed,52.13,Medium,22.65,Low,Low,3733,17625,NA,NA,NA,NA,NA,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__Bog-756;s__,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,RAAP-2,Bog-756,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
16O_day184_MH_16O_day184_MH_bin.38_renamed,81.72,Medium,39.66,Low,Low,5083,29578,NA,NA,NA,NA,NA,d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__;s__,Bacteria,Eremiobacterota,Eremiobacteria,Baltobacterales,Baltobacteraceae,,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
16O_day184_MH_16O_day184_MH_bin.41_renamed,69.98,Medium,13.79,Low,Low,8240,38009,NA,NA,NA,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium;s__,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhodomicrobiaceae,Rhodomicrobium,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
16O_day184_MH_16O_day184_MH_bin.42_renamed,49.14,Low,3.45,High,Low,6042,23421,NA,NA,NA,NA,NA,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Acidobacteriaceae;g__Occallatibacter;s__,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Occallatibacter,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
16O_day184_MH_16O_day184_MH_bin.45_renamed,70.99,Medium,13.79,Low,Low,5810,24165,NA,NA,NA,NA,NA,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp003162595,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,VadinHA17,LD21,LD21 sp003162595,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
16O_day184_MH_16O_day184_MH_bin.46_renamed,55.5,Medium,18.42,Low,Low,4413,27007,NA,NA,NA,NA,NA,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__Palsa-1150;s__,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Palsa-1150,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
16O_day184_MH_16O_day184_MH_bin.48_renamed,84.07,Medium,5.66,Medium,Medium,11298,78097,NA,NA,NA,NA,NA,d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__CTSoil-043;s__,Bacteria,Chloroflexota,Limnocylindria,Limnocylindrales,CSP1-4,CTSoil-043,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
16O_day184_MH_16O_day184_MH_bin.54_renamed,69.76,Medium,42.98,Low,Low,9866,55668,NA,NA,NA,NA,NA,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Palsa-1447;s__,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Palsa-1447,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
16O_day184_MH_16O_day184_MH_bin.55_renamed,59.31,Medium,4.31,High,Medium,4705,19534,55.62,Medium,3.3,High,Medium,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__BOG-930;s__,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,BOG-930,,ncbi_data_coassembly_of_replicates,winner,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
16O_day184_MH_16O_day184_MH_bin.5_renamed,79.88,Medium,3.87,High,Medium,9597,37117,NA,NA,NA,NA,NA,d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Anaeromyxobacteraceae;g__Anaeromyxobacter;s__,Bacteria,Myxococcota,Myxococcia,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
16O_day184_MH_16O_day184_MH_bin.64_renamed,72.71,Medium,90.52,Low,Low,4247,23488,NA,NA,NA,NA,NA,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Acidobacteriaceae;g__Occallatibacter;s__,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Occallatibacter,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
16O_day184_MH_16O_day184_MH_bin.68_renamed,94.18,High,55.29,Low,Low,6821,41172,NA,NA,NA,NA,NA,d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__UBA2241;f__UBA2241;g__Bog-752;s__,Bacteria,Actinomycetota,Thermoleophilia,UBA2241,UBA2241,Bog-752,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
16O_day184_MH_16O_day184_MH_bin.69_renamed,48.76,Low,15.86,Low,Low,4703,34804,NA,NA,NA,NA,NA,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Kineosporiaceae;g__;s__,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Kineosporiaceae,,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
16O_day184_MH_16O_day184_MH_bin.6_renamed,76.38,Medium,1.72,High,Medium,12191,45164,NA,NA,NA,NA,NA,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__RAAP-2;s__,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,RAAP-2,RAAP-2,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
16O_day184_MH_16O_day184_MH_bin.70_renamed,83.53,Medium,45.91,Low,Low,5301,38903,NA,NA,NA,NA,NA,d__Bacteria;p__Myxococcota;c__Polyangia;o__JACRCY01;f__JACRCY01;g__;s__,Bacteria,Myxococcota,Polyangia,JACRCY01,JACRCY01,,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
16O_day184_MH_16O_day184_MH_bin.73_renamed,60.45,Medium,4.02,High,Medium,5281,24047,NA,NA,NA,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocystis,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
16O_day184_MH_16O_day184_MH_bin.80_renamed,73.33,Medium,3.18,High,Medium,10387,48394,76.38,Medium,0.66,High,Medium,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Longilinea;s__,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,Longilinea,,ncbi_data_coassembly_of_replicates,winner,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
16O_day184_MH_16O_day184_MH_bin.84_renamed,64.91,Medium,10.53,Low,Low,13023,42880,NA,NA,NA,NA,NA,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Palsa-1447;s__,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Palsa-1447,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
16O_day184_MH_16O_day184_MH_bin.85_renamed,71.71,Medium,55.17,Low,Low,3400,11555,NA,NA,NA,NA,NA,d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__PALSA-600;s__,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,PALSA-600,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
16O_day184_MH_16O_day184_MH_bin.86_renamed,81.86,Medium,12.39,Low,Low,20101,70309,NA,NA,NA,NA,NA,d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__Fen-1039;s__,Bacteria,Chloroflexota,Limnocylindria,Limnocylindrales,CSP1-4,Fen-1039,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
16O_day184_MH_16O_day184_MH_bin.88_renamed,56.91,Medium,3.64,High,Medium,10037,45670,NA,NA,NA,NA,NA,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__SZUA-6;f__Fen-1364;g__Fen-1364;s__,Bacteria,Spirochaetota,Spirochaetia,SZUA-6,Fen-1364,Fen-1364,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
16O_day184_MH_16O_day184_MH_bin.8_renamed,62.93,Medium,7.33,Medium,Medium,4860,17899,NA,NA,NA,NA,NA,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Prado026;f__Prado026;g__JANYIP01;s__,Bacteria,Actinomycetota,Actinomycetes,Prado026,Prado026,JANYIP01,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
16O_day184_MH_16O_day184_MH_bin.98_renamed,45.64,Low,4.31,High,Low,4191,19558,NA,NA,NA,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Micropepsales;f__Micropepsaceae;g__Rhizomicrobium;s__,Bacteria,Pseudomonadota,Alphaproteobacteria,Micropepsales,Micropepsaceae,Rhizomicrobium,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
16O_day184_MH_16O_day184_MH_bin.9_renamed,43.14,Low,3.51,High,Low,5444,23888,NA,NA,NA,NA,NA,d__Bacteria;p__Myxococcota;c__Polyangia;o__Fen-1088;f__Fen-1088;g__Fen-1118;s__,Bacteria,Myxococcota,Polyangia,Fen-1088,Fen-1088,Fen-1118,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
16O_day370_MH_16O_day370_MH_bin.10_renamed,42.63,Low,8.77,Medium,Low,7411,35072,NA,NA,NA,NA,NA,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Palsa-1447;s__,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Palsa-1447,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
16O_day370_MH_16O_day370_MH_bin.11_renamed,69.81,Medium,51.04,Low,Low,6728,40135,NA,NA,NA,NA,NA,d__Bacteria;p__Myxococcota;c__Polyangia;o__Fen-1088;f__Fen-1088;g__Fen-1118;s__,Bacteria,Myxococcota,Polyangia,Fen-1088,Fen-1088,Fen-1118,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
16O_day370_MH_16O_day370_MH_bin.13_renamed,74.09,Medium,4.02,High,Medium,5934,54277,NA,NA,NA,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocystis,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
16O_day370_MH_16O_day370_MH_bin.15_renamed,56.71,Medium,5.17,Medium,Medium,5828,25522,61.73,Medium,15.65,Low,Low,d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5066;f__UBA5066;g__Fen-183;s__,Bacteria,Acidobacteriota,Thermoanaerobaculia,UBA5066,UBA5066,Fen-183,,ncbi_data_coassembly_of_replicates,winner,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
16O_day370_MH_16O_day370_MH_bin.16_renamed,90.95,High,11.12,Low,Low,20349,63215,NA,NA,NA,NA,NA,d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Fen-549;s__,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,Fen-549,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
16O_day370_MH_16O_day370_MH_bin.18_renamed,43.05,Low,1.08,High,Low,3789,13020,NA,NA,NA,NA,NA,d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Anaeromyxobacteraceae;g__Anaeromyxobacter;s__,Bacteria,Myxococcota,Myxococcia,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
16O_day370_MH_16O_day370_MH_bin.1_renamed,49.14,Low,1.72,High,Low,4550,14706,NA,NA,NA,NA,NA,d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__RBG-16-64-13;f__RBG-16-64-13;g__CAIQPS01;s__,Bacteria,Actinomycetota,Thermoleophilia,RBG-16-64-13,RBG-16-64-13,CAIQPS01,,ncbi_data_coassembly_of_replicates,loser,genome from metagenome,CheckM2,v0.1.3,MegaHit,v1.2.9,GTDB-Tk,2.4.0,Metabat2,v2.15
